test_accuracy,nlayers,pool,stride,whiten,triangle,greedy,inhib,lambda,classLr,wnorm,w_lr,l_lr,b_lr
0.559,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5588,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5347,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5564,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5555,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5474,1,True,1,True,False,False,Softmax,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5568,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5517,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5551,1,True,1,True,False,False,Softmax,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5573,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5487,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5597,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5603,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5459,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5579,1,True,1,True,False,False,Softmax,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5517,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5559,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5584,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5609,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.558,1,True,1,True,False,False,Softmax,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
0.5515,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5547,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5529,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5429,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5563,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.554,1,True,1,True,False,False,Softmax,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5656,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
5628,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5564,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5452,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5608,1,True,1,True,False,False,Softmax,500,0.0008,8e-05,0.0006,0.0009,0.0033,128
0.5614,1,True,1,True,False,False,Softmax,500,0.0008,7e-05,0.0006,0.0009,0.0033,128
0.5572,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5562,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5466,1,True,1,True,False,False,Softmax,500,0.0008,9e-05,0.0006,0.0009,0.0033,128
0.5572,1,True,1,True,False,False,Softmax,500,0.0008,0.0001,0.0006,0.0009,0.0033,128
0.5389,1,True,1,True,False,False,Softmax,500,0.0008,1e-05,0.0006,0.0009,0.0033,128
0.5562,1,True,1,True,False,False,Softmax,500,0.0008,2e-05,0.0006,0.0009,0.0033,128
0.5601,1,True,1,True,False,False,Softmax,500,0.0008,4e-05,0.0006,0.0009,0.0033,128
0.5416,1,True,1,True,False,False,Softmax,500,0.0008,3e-05,0.0006,0.0009,0.0033,128
0.5573,1,True,1,True,False,False,Softmax,500,0.0008,6e-05,0.0006,0.0009,0.0033,128
0.5546,1,True,1,True,False,False,Softmax,500,0.0008,5e-05,0.0006,0.0009,0.0033,128
